Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
IIT-Library,sub_class,Download,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: progressbar; downloaded; font; fileName; fileUrl; frame
IIT-Library,sub_class,Download_Without_saving,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: progressbar; downloaded; font; fileName; fileUrl; frame
IIT-Library,sub_class,File_Basic,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: Item; price; filepath
IIT-Library,sub_class,Home_frame,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: sub_class.search_item
IIT-Library,sub_class,Home_frame,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: item; link; length
IIT-Library,sub_class,Offlinepdf,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: pdfpath; pdfname
IIT-Library,sub_class,PdfViewer,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: c; screenSize; frame_height; frame_width; totalpage; pagenumber; pagenumber2; viewtypecounter; zoomcounter; title_panel; pdf_panel; back; one_view; two_view; next_page; previous_page; zoom_in; zoom_out; label1; label2; pdflabel; pdflabel2; textarea; bim; pdfDocument
IIT-Library,sub_class,Pdf_books,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: sub_class.File_Basic
IIT-Library,sub_class,Pdf_books,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: pdffilepath; dirName; bookname
IIT-Library,sub_class,search_item,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: pdffilepath; dirName; bookname; item; link
IIT-Library,sub_class,Semester_details,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: semesternumber; usertype
IIT-Library,sub_class,Slides_details,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: sub_class.File_Basic
IIT-Library,sub_class,Slides_details,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: slide_subject
IIT-Library,sub_class,View,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: progressbar; downloaded; font; fileName; fileUrl; frame
IIT-Library,sub_class,Welcome_frame,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: scanner
